"Amendment #",Patron,Department,Agency,Description,"GF Dollars FY2025","GF Dollars FY2026","NGF Dollars FY2025","NGF Dollars FY2026"," GF Positions FY2025"," GF Positions FY2026"," NGF Positions FY2025"," NGF Positions FY2026","Language",Explanation,
109 #3h,"Herring","Commerce and Trade","Department of Energy","HB 2113: Solar Grant Program for Localities","","$5,000,000",,,,,,,"Page 123, after line 48, insert:'F. Out of this appropriation, $5,000,000 the second year from the general fund is provided for the Solar Interconnection Grant Fund and Program pursuant to the provisions of House Bill 2113 of the 2025 General Assembly Session.' ","<p>(This amendment provides $5.0 million for the Solar Interconnection Grant Fund and Program proposed in House Bill 2113 of the 2025 General Assembly Session. This program will provide grants to localities to connect solar facilities to the grid. This is intended to be a one-time investment of funds in the program.)</p>",
277 #11h,"Herring","Health and Human Resources","Department of Health","Reestablish Task Force on Maternal Health Data and Quality Measures","","$50,000",,,,,,,"Page 345, after line 14, insert:'J. The State Health Commissioner shall reestablish the Task Force on Maternal Health Data and Quality Measures (the Task Force for the purpose of evaluating maternal health data collection processes to guide policies in the Commonwealth to improve maternal care, quality, and outcomes for all birthing people in the Commonwealth. The Task Force shall be modeled after the provisions of Chapter 215, 2021 Special Session I, to consist of similar membership.  The Task Force shall examine the issues outlined in House Bill 781, 2024 Session, which was passed by the General Assembly.  The Task Force shall report its findings and conclusions to the Governor and General Assembly by December 1 of each year regarding its activities.' ","<p>(This amendment adds funding and language directing the Commissioner of Health to reestablish the Task Force on Maternal Health Data and Quality Measures composed similarly to requirements in Chapter 215, 2021 Special Session I and examine issues outlined in House Bill 781, passed by the 2024 General Assembly, but vetoed by the Governor.)</p>",
392 #3h,"Herring","Public Safety and Homeland Security","Department of Criminal Justice Services","Report on Use of Surveillance Technology","","$25,000",,,,,,,"","<p>(This amendment provides $25,000 the second year from the general fund to support costs associated with reporting requirements required by House Bill 1496 of the 2024 Session related to the use of surveillance technology by law enforcement. This is a placeholder amendment until the final cost is known.)</p>",
415 #5h,"Herring","Public Safety and Homeland Security","Department of State Police","Guardrails on Use of Automatic License Plate Recognition by Law Enforcement","","$50,000",,,,,,,"","<p>(This amendment provides a placeholder appropriation of $50,000 from the general fund in fiscal year 2026 related to an initiative under consideration to require guardrails on the use of automatic license plate recognition by law enforcement.)</p>",
4-5.12 #1h,"Herring","Special Conditions and Restrictions on Expenditures","Regional Greenhouse Gas Initiative Participation","Requirement to Rejoin the Regional Greenhouse Gas Initiative",,,,,,,,,"Page 698, after line 41, insert:'§ 4-5.12 REGIONAL GREENHOUSE GAS INITIATIVE PARTICIPATIONa. As a condition on all appropriations in this act and notwithstanding any other provision of this act, or any other law, no expenditures from general, special, or other nongeneral fund sources from any appropriation by the General Assembly shall be used to take any action that impedes or otherwise interferes with Virginia's rejoining of the Regional Greenhouse Gas Initiative or continued participation therein. As a further condition on all appropriations in this act and notwithstanding any other provision of this act, or any other law, any state agency or authority with responsibilities identified in Code § 10.1-1330 must immediately take all actions necessary to rejoin the Regional Greenhouse Gas Initiative and continue participating therein. Such required actions include, but are not limited to, repealing the final regulation titled 9VAC5-140, Regulation for Emissions Trading Programs published in the Virginia Register on July 31, 2023, reissuing the final regulation titled 9VAC5-140, Regulation for Emissions Trading Programs published in the Virginia Register on August 3, 2020, selling the allowances generated by the reissued regulatory program through auctions run by the Regional Greenhouse Gas Initiative, distributing auction proceeds in accordance with Code § 10.1-1330(C) and appropriations included herein, and providing annual reporting in accordance with Code § 10.1-1330(D). Any regulatory action necessary to effectuate the requirements of this provision is hereby exempted from the provisions of the Administrative Process Act (§ 2.2-4000 et seq.); the Department of Environmental Quality must complete such regulatory action without further action by the Air Pollution Control Board and the reissued regulatory program must take effect no later than 90 days from the effective date of this act.b. As a further condition on all appropriations in this act and notwithstanding any other provision of this act, or any other law, any auction proceeds received from allowance sales in the Regional Greenhouse Gas Initiative, including proceeds associated with the auction held on or about December 6, 2023, and not otherwise already appropriated, are hereby appropriated for the purposes and in the percentages set forth in § 10.1-1330(C), Code of Virginia. The Department of Housing and Community Development shall use its portion of this appropriation to continue the Housing Innovations in Energy Efficiency Program, and shall continue to fund and administer the Affordable and Special Needs Housing program and Weatherization Deferral Repair program. The Department of Conservation and Recreation shall use its portion of this appropriation to continue to fund and administer the Community Flood Preparedness Fund.' 

   ","<p>(This amendment requires appropriate agencies to take all efforts necessary for the Commonwealth to rejoin the Regional Greenhouse Gas Initiative within 90 days of the effective date of the Appropriations Act, and requires the deposit of all auction proceeds consistent with the provisions of § 10.1-1330(C), Code of Virginia. The amendment conditions all general and nongeneral fund appropriations in the Act upon the implementation of the aforementioned requirements.)</p>",
371 #21h,"Higgins","Natural and Historic Resources","Department of Historic Resources","The Plains Preservation Plan","","$25,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $25,000 the second year from the general fund is provided to the County of Fauquier to support phase two of the preservation plan for The Plains, Virginia.' ","<p>(This amendment provides $25,000 from the general fund in fiscal year 2026 to Fauquier County to support a preservation plan for The Plains.)</p>",
442 #6h,"Higgins","Transportation","Department of Transportation","Increased Signage to Address Speeding on RT 17 Between Marshall & Warrenton","","$150,000",,,,,,,"Page 554, after line 54, insert:'H. Out of the amounts in this item, $150,000 the second year from the general fund is provided to address excessive speeding on route 17 between Marshall and Warrenton.' ","<p>(This amendment provides $150,000 general fund in fiscal year 2026 to install an additional 16 signs which state their are increased fines for speeding and implement 6 electronic speed signs on Route 17 between Marshall and Warrenton.)</p>",
86 #1h,"Hodges","Agriculture and Forestry","Department of Agriculture and Consumer Services","Blue Catfish Infrastructure Grant","","$250,000",,,,,,,"Page 96, line 30, strike '$1,500,000' and insert '$1,750,000'.Page 96, line 33, strike '$250,000' and insert '$500,000'. ","<p>(This amendment provides an additional $250,000 from the general fund in fiscal year 2026 for the Blue Catfish Processing, Flash Freezing, and Infrastructure Grant Program, bringing total support for the program to $500,000 from the general fund the second year.)</p>",
132 #3h,"Hodges","Education: Higher Education","State Council of Higher Education for Virginia","SCHEV - Private College Access to Nursing Initiative","","$5,000,000",,,,,,,"Page 222, line 29, strike '$12,000,000' and insert '$17,000,000'.Page 222, line 32, after 'public', insert 'and private not-for-profit'. ","<p>(This amendment request including private not-for-profit higher education institutions to be included in a proposed initiative to increase the number of nursing graduates.)</p>",
136 #1h,"Hodges","Education: Higher Education","Christopher Newport University","CNU - Campus Technology Infrastructure","","$1,955,000",,,"","4.00","","","","<p>(This amendment requests funding for campus technology infrastructure to improve customer service and expand existing information security programs and tools.) </p>",
268 #3h,"Hodges","Health and Human Resources","Children's Services Act","Eliminate State Cap on Reimbursement for CSA Private Day Educational Services",,,,,,,,,"Page 333, strike lines 47 through 50. ","<p>(This amendment eliminates language proposed in the introduced budget which caps increases in the state reimbursement to localities for Children's Services Act (CSA) Special Education private day educational services at 2.5 percent in fiscal year 2026 and beyond. Removing the section will allow reimbursement to localities for the real cost of private day educational services on an unrestricted basis compared to previous year spending. This will ensure adequate funding for a sum-sufficient program based on real costs, the value of services depending on the advanced needs of children receiving those services, and rising costs of qualified and quality personnel and supplies.)</p>",
279 #20h,"Hodges","Health and Human Resources","Department of Health","All Payer Claims Database",,,"$1,025,000","$1,025,000",,,,,"Page 351, line 44, after 'general fund',  strike 'the second year' and insert:'and $1,025,000 the first year and $1,025,000 the second year from nongeneral funds'. ","<p class='hstextf'>(This amendment provides $1.0 million from the nongeneral fund each year by allowing $1,025,000 of existing general fund appropriations each year for the Virginia’s All Payer Claims Database to draw down federal matching dollars for Medicaid. Additional federal dollars will cover increased vendor costs and additional analytic support for state agency and private users.)</p>",
279 #21h,"Hodges","Health and Human Resources","Department of Health","Outpatient Data ",,,,,,,,,"Page 351, line 39, strike the second '$1,272,313' and insert '$2,013,313'.Page 351, after line 55, insert:'4. Out of this appropriation from the amounts in paragraph M.1., $741,000 the second year from the general fund shall be used to expand patient level data reporting to include outpatient data.' ","<p>(This amendment provides $741,000 from the general fund in fiscal year 2026 to expand patient level data collection to include outpatient data.)</p>",
288 #22h,"Hodges","Health and Human Resources","Department of Medical Assistance Services","Medicaid Agency Directed Personal Care Rate Increase","$132,000,000","$154,500,000","$132,000,000","$154,500,000",,,,,"Page 392, after line 34, insert:'3. Effective July 1, 2024, the Department of Medical Assistance Services shall increase the rates for personal care, respite and companion services in the home and community-based services provided through Medicaid waiver programs by 30 percent for agency-directed care. The department shall have the authority to implement these changes prior to completion of any regulatory process undertaken in order to effect such change.' ","<p class='hstextf'>(This amendment provides $132.0 million from the general fund and $132.0 million from nongeneral funds in fiscal year 2025 and $154.5 million from the general fund and $154.5 million from nongeneral funds in fiscal year 2026 to increase personal care, respite, and companion services rates by 30 percent for agency-directed care. This will result in a $6.86 per hour increase for Northern Virginia and a $5.83 per hour increase in the rest of the state. This increase will provide better compensation and cover the cost of increasing Registered Nursing oversight, insurance, worker's compensation, health insurance, electronic visit verification software, rent and all other direct and indirect costs of care. Chapter 2, 2024 Special Session 1, provided two recent rate increases for personal care services. The first was a two percent increase in personal care rates, effective January 1, 2024 and the second was a two percent increase in personal care rates, effective July 1, 2024.)</p>",
288 #23h,"Hodges","Health and Human Resources","Department of Medical Assistance Services","Medicaid Single Pharmacy Benefits Manager",,,"($13,983,000)","($18,065,000)",,,,,"Page 393, after line 55, insert:'OOOOO. By December 31, 2025, the Department shall contract with a single third-party administrator to serve as the pharmacy benefit manager to administer all pharmacy benefits for Medicaid recipients, including those enrolled in managed care.  Each managed care contract shall require the managed care organization to utilize the state pharmacy benefit manager for the purpose of administering all pharmacy benefits. The contract with the state pharmacy benefit manager shall: (i) establish the state pharmacy benefit manager's fiduciary duty owed to the Department; (ii) require the use of pass-through pricing; and (iii) require transparency in drug costs, rebates collected and paid, dispensing fees paid, administrative fees, and all other charges, fees, costs, and holdbacks.  The pharmacy benefit manager shall not have a business conflict of interest with any Medicaid provider or vendor.' ","<p class='hstextf'>(This amendment reduces nongeneral fund spending in the Medicaid program by almost $14.0 million in fiscal year 2025 and $18.1 million in fiscal year 2026 and adds language requiring the Department of Medical Assistance Services (DMAS) to contract with a single pharmacy benefit manager (PBM) to administer all pharmacy benefits for the Medicaid fee-for-service and Cardinal Care programs. Currently, DMAS delivers pharmacy benefits to Medicaid enrollees through the traditional Medicaid fee-for-service (FFS) program and through Medicaid managed care organizations (MCOs) under the Cardinal Care managed care program. The high cost of drugs and low reimbursement rates are causing pharmacies to close.  A Virginia Commonwealth University study in 2023 demonstrated that pharmacy deserts were occurring throughout Virginia.  Community pharmacies serve an integral role in our communities, especially in rural and urban populations. Each MCO has their own PBM.  This amendment directs DMAS to directly contract with its own, transparent and fiduciary-based PBM.  Each MCO would then be required to contract with this PBM for, among other services, drug acquisition and dispensing. DMAS can reduce duplicative administrative costs, streamline management of the pharmacy benefit and allow transparency in drug costs and dispensing fees.  A 2019 General Assembly-directed study proved that DMAS would save at least $32 million with a direct PBM. In Kentucky, the General Assembly’s directive to direct-manage the pharmacy benefit in 2020 saved the state $283 million.  In Texas, a state commissioned study has shown that carving pharmacy benefits out of the Medicaid managed care program could save the state up to $90.3 million a year.)</p>",
315 #2h,"Hodges","Health and Human Resources","Department for Aging and Rehabilitative Services","Increase Elderly Individual Care Services Provided through Area Agencies on Aging","","$4,350,000",,,,,,,"Page 431, after line 44, insert:'N. Out of this appropriation, $4,350,000 from the general fund the second year shall be provided to Virginia's 25 Area Agencies on Aging (AAAs) for elderly individual care services.  The Department for Aging and Rehabilitative Service, in collaboration with the AAAs, shall determine an equitable distribution of the funding that provides flexibility for the variation in local need for critical individual care services to enable seniors to remain in their homes.' ","<p>(This amendment adds $4.4 million from the general fund in fiscal year 2026 for elderly individual care services provided through the 25 Area Agencies on Aging (AAAs) to address the unmet need for critical services to keep seniors in their homes (home care, personal care, transportation, home-delivered meals, congregate meals, and case management).  Flexibility in allocating this funding for specific critical services is essential as need varies across the Commonwealth and the 25 AAAs.)</p>",
315 #5h,"Hodges","Health and Human Resources","Department for Aging and Rehabilitative Services","Community-Based Programs to Reduce Isolation Among Older Virginians","$500,000","$2,000,000",,,,,,,"Page 431, after line 44, insert:'N. Out of this appropriation, $500,000 from the general fund the first year and $2,000,000 from the general fund the second year shall be provided to the County of Fairfax to support the Washington Area Villages Exchange in the creation of a pilot program to reduce the public health risk of social isolation amont older Virginians by expanding the availability of Villages statewide.' ","<p>(This amendment provides $500,000 in fiscal year 2025 and $2.0 million in fiscal year 2026 from the general fund to the County of Fairfax to support the Washington Area Villages Exchange to expand community-based Villages to provide services to reduce social isolation among older Virginians. Villages offer personal engagement, community connections, and practical supports to enable older adults to remain in their homes and communities.)</p>",
359 #5h,"Hodges","Natural and Historic Resources","Department of Conservation and Recreation","Local Federal Floodplain Management Requirements",,,,,,,,,"Page 472, after line 16, insert:'Y. The Department shall, in collaboration with the Department of Health, Department of Environmental Quality, Department of Transportation, Marine Resources Commission, Virginia Institute of Marine Science, and representatives from localities, develop and maintain a comprehensive guidance document to assist localities in complying with the federal floodplain management requirements under the National Flood Insurance Program, authorized by the federal National Flood Insurance Act of 1968. Such guidance shall provide the proper implementation of enforcement provisions regulating development in floodplain management areas, including floodplain permitting requirements for all man-made development, within localities that participated in the National Flood Insurance Program. The Department shall review and revise the guidance document, with input from other state agencies and representatives of localities, at least every five years.' ","<p>(This amendment directs the Department of Conservation and Recreation to develop and maintain a comprehensive guidance documents to assist localities in complying with federal floodplain management requirements under the National Flood Insurance Program.)</p>",
373 #1h,"Hodges","Natural and Historic Resources","Marine Resources Commission","HB 2453 - Living Shoreline Grant Fund","","$20,000,000",,,,,,,"Page 489, after line 18, insert:'G. Out of this appropriation, $20,000,000 the second year from the general fund to be deposited in the Living Shoreline Grant Fund pursuant to House Bill 2453 of the 2025 Session of the General Assembly.' ","<p>(This amendment provides $20 million from the general fund in fiscal year 2026 for deposit in the Living Shoreline Grant Fund. The Fund would be establish pursuant to House Bill 2453.)</p>",
426 #2h,"Hodges","Transportation","Department of Motor Vehicles","Complete a Review of the DMV Select Program",,,,,,,,,"Page 453, after line14, insert:'P. The Department of Motor Vehicles shall conduct an analysis of the DMV Select Program to evaluate its potential financial impact on participating localities, including any associated costs of program administration and operations. The Department shall complete the analysis and report its findings no later then December 1, 2025. '    ","<p>(This amendment requires the DMV to complete an analysis of the financial impact on localities of the DMV Select program.)</p>",
438 #4h,"Hodges","Transportation","Department of Transportation","Fund Bridge and Road Improvements in West Point","","$1,000,000",,,,,,,"Page 551, after line 40, insert:'O. Out of the amounts appropriated in this item, $1,000,000 the second year from the general  shall be provided to the Town of West Point for upgrades to the access road and bridge on International Drive off of York River Road.  The funds shall be contingent on matching funds being provided by the Town.' ","<p>(This amendment provides $1.0 million general fund in fiscal year 2026 to fund road and bridge improvements in the town of West Point.)</p>",
1 #5h,"Hope","Legislative Department","General Assembly of Virginia","HB 1772:  Autism Advisory Council","","$400,000",,,"","2.00","","","","<p>(This amendment provides $400,000 the second year from the general fund and two positions in support of House Bill 1772, which changes the existing Autism Advisory Council into a permanent, independently staffed commission in the legislative branch. The funding included in this amendment would support an Executive Director and policy analyst position, as well as overhead expenditures to support the council's transition into full-time. This amendment fulfills a recommendation of the Behavbioral Health Commission.)</p>",
23 #1h,"Hope","Legislative Department","Virginia State Crime Commission","VSCC:  Serology Study","","$25,000",,,,,,,"","<p>(This amendment provides $25,000 the second year from the general fund to support costs associated with an ongoing serology study.)</p>",
23 #2h,"Hope","Legislative Department","Virginia State Crime Commission","VSCC:  Additional Staffing","","$250,000",,,,,,,"","<p>(This amendment provides $250,000 the second year from the general fund to support additional staffing costs for the Virginia State Crime Commission. The positions to support these costs were provided previously.)</p>",
65 #4h,"Hope","Administration","Compensation Board","Consolidate Table Setting Out Clerks Saleries","","$1,888,244",,,,,,,"Page 66, line 7, strike '$102,776' and '$102,776' and insert: '$151,652' and '$151,652'.Page 66, line 8, strike '$126,313' and '$126,313” and insert: '$151,652' and '$151,652'.Page 66, line 9, strike '$144,416' and  '$144,416' and insert:'$151,652' and '$151,652'. ","<p>(This amendment provides $1.9 million from the general fund in fiscal year 2026 to consolidate the population based salaries of Circuit Court Clerks in population groups below 70,000 effective July 1, 2025, creating a new population group of 0-69,999.)</p>",
288 #39h,"Hope","Health and Human Resources","Department of Medical Assistance Services","Medicaid Center-Based Respite Service ",,,,,,,,,"Page 393, after line 55, insert:'OOOOO. Effective July 1, 2025, the Department of Medical Assistance Services shall amend the Community Living waiver and Family and Individuals Support waiver to add Center-Based Respite Service.  The department shall have the authority to determine the appropriate rate for the new service and amend regulations as necessary. The department shall have the authority to implement this change prior to the completion of any regulatory process to effect such changes.' ","<p>(This amendment directs the Department of Medical Assistance Services to amend the Community Living and Family and Individuals Support waivers, establish needed regulations upon approval from the Centers for Medicare and Medicaid Services, and to complete an analysis of costs necessary to establish a rate for Center-Based Respite Service.)</p>",
296 #16h,"Hope","Health and Human Resources","Department of Behavioral Health and Developmental Services","HB 1937: Bed Registry Advisory Council","","$50,000",,,,,,,"Page 415, after line 1, insert:'Z. Out of this appropriation, $50,000 the second year from the general fund is provided for the Commissioner of the Department of Behavioral Health and Developmental Services to create the Bed Registry Advisory Council pursuant to House Bill 1937 of the 2025 General Assembly.' ","<p>(This amendment provides $50,000 the second year from the general fund to create the Bed Registry Advisory Council pursuant to House Bill 1937 of the 2025 General Assembly. The Council will advise the Department of Behavioral Health and Developmental Services on the establishment and operation of the acute psychiatric bed registry used to find appropriate placement of individuals in need of psychiatric care.)</p>",
296 #17h,"Hope","Health and Human Resources","Department of Behavioral Health and Developmental Services","Support Diversion and Discharge of Individuals with Dementia","","$100,000",,,,,,,"Page 413, line 4, strike the second '$3,547,000' and insert '$3,647,000'. ","<p>(This amendment provides $100,000 the second year from the general fund to support the diversion and discharge of individuals with the diagnosis of dementia who would otherwise be served in state hospitals. This amendment brings the total funding in fiscal year 2026 to $3.6 million from the general fund.)</p>",
297 #21h,"Hope","Health and Human Resources","Grants to Localities","CSB Prevention Services","","$8,000,000",,,,,,,"Page 421, after line 23, insert:'VV. Out of this appropriation, $8,000,000 the second year from the general fund is provided to Community Services Boards to support their prevention staff and expand prevention programs.' ","<p>(This amendment provides $8.0 million the second year from the general fund for Community Services Boards (CSBs) to provide a variety of prevention services. CSBs have been using federal funding to provide prevention services, but funding through the Consolidated Appropriation Act has recently ended and American Rescue Plan Act funding will end in September 2025. This amendment will allow CSBs to continue providing prevention services.)</p>",
297 #22h,"Hope","Health and Human Resources","Grants to Localities","PSH Discharge Protocols, Assessment Tool, and Training",,,,,,,,,"Page 418, after line 35, insert:'4. The Department of Behavioral Health and Developmental Services shall (i) revise discharge protocols to require state hospitals and Community Services Boards to explore whether permanent supportive housing is a suitable option for all patients by November 1, 2025, (ii) develop and implement a standardized assessment tool for state hospital staff to evaluate suitability for permanent supportive housing as part of every discharge plan, (iii) develop a statewide training curriculum about the permanent supportive housing program and how it can successfully be used to integrate individuals with serious mental illness in the community and conduct training with all staff involved in discharge planning, and (iv) identify positions for which training on the permanent supportive housing program is mandatory. The Department of Behavioral Health and Developmental Services shall report to the Behavioral Health Commission no later than December 1, 2025, and annually thereafter on the implementation status of these initiatives generally and specifically for each state facility, including: the number of staff trained, proportion of discharge plans during which the assessment tool was used, proportion of individuals assessed as suitable for permanent supportive housing, proportion of individuals discharged directly to permanent supportive housing, discharge placements for individuals assessed as suitable for permanent supportive housing who were not discharged to permanent supportive housing, barriers preventing individuals assessed as suitable for permanent supportive housing from being discharged into the program, barriers to increasing the proportion of individuals assessed as suitable for permanent supportive housing, and recommendations to address such barriers.' ","<p>(This amendment proposes language directing the Department of Behavioral Health and Developmental Services to revise discharge protocols to assess patients for permanent supportive during the discharge process and to develop staff training about the permanent supportive housing program. Language also requires the Department to report annually to the Behavioral Health Commission on the implementation status of these initiatives.)</p>",
371 #19h,"Hope","Natural and Historic Resources","Department of Historic Resources","Hume School","","$50,000",,,,,,,"Page 487, after line 47, insert:'EE. Out of the amounts in this item, $50,000 the second year from the general fund is provided to the County of Arlington to support restoration projects and upgrades at the 1891 Hume School building.' ","<p>(This amendment provides $50,000 the second year from the general fund to Arlington County to support projects at the Arlington Historical Society's Hume School building.)</p>",
408 #1h,"Hope","Public Safety and Homeland Security","Department of Forensic Science","Serology Study Positions","","$125,000",,,"","1.00","","","","<p>(This amendment provides $125,000 from the general fund in fiscal year 2026 and one position for the Department of Forensic Science to provide ongoing staff support to the Virginia State Commission relating to activities set out in Item 23, Paragraph A of this act.)</p>",
479 #3h,"Hope","Independent Agencies","State Corporation Commission","HB 1641: Defrayal Costs for Mandated Coverage of Pediatric Autoimmune Disorders from Strep Infections","","$94,500",,,,,,,"","<p class='hstextf'>(This amendment provides $94,500 from the general fund in fiscal year 2026 to defray the cost of mandating the individual or group health insurance carriers include coverage for diagnosis and treatment of pediatric autoimmune disorders associated with streptococcal infections (PANDAS) and pediatric acute-onset neuropsychiatric syndrome (PANS). The funding defrays state costs to include the coverage provided  through qualified health plans sold through the Health Benefit Exchange.)</p>",
111 #3h,"Jones","Commerce and Trade","Department of Small Business and Supplier Diversity","Capital Access Program","","$250,000",,,,,,,"Page 125, after line 54, insert: 'J. Out of this appropriation, $250,000 the second year from the general fund is provided to the City of Richmond for the Metropolitan Business League's and Bridging Virginia's Capital Access Program.' ","<p>(This amendment provides $250,000 to the City of Richmond to support the Metropolitan Business League's and Bridging Virginia's Capital Access Program. This program provides resources to small businesses owned by individuals from historically marginalized communities and with economically disadvantaged backgrounds.)</p>",
125 #13h,"Jones","Education: Elementary and Secondary","Direct Aid to Public Education","English Language Learner Add-On","","$55,600,000",,,,,,,"Page 166, after line 27, insert:'English Learner Add-On $0 $55,600,000'.Page 190, after line 6, insert:'In addition to the amounts provided for English Learner Teachers, a payment of $55,600,000 the second year from the general fund is provided for the state share of a payment equal to an 8.5 percent add-on to basic aid per estimated English Learner student.' ","<p>(This amendment provides $55.6 million the second year from the general fund for the state's share of an English Language Learner Add-On payment equal to 8.5 percent of basic aid, based on the estimated number of English Learner students.)</p>",
292 #7h,"Jones","Health and Human Resources","Department of Medical Assistance Services","Community Health Worker Services Benefit Rate Study","","$250,000","","$250,000",,,,,"Page 402, after line 29, insert:'MM. Out of this appropriation, $250,000 from the general fund and $250,000 from nongeneral funds in the second year shall be provided for the Department of Medical Assistance Services to conduct a rate and benefit design analysis for a provision of payment for community health worker services. The department shall collaborate with stakeholders to include the Virginia Community Health Worker Association, the Virginia Association of Free and Charitable Clinics, Virginia Health Catalyst, Institute for Public Health Innovation, Virginia Community Healthcare Association, CHW Strength, the Virginia Hospital & Healthcare Association, the Virginia Department of Health, and any other stakeholders the department deems necessary. The analysis shall consider the reimbursement methodology for the benefit, the services to be included in the benefit, the educational and training requirements community health workers must possess to furnish the benefit, and other considerations at the department's discretion. The department shall submit a report on their findings to the Chairs of the House Committee on Appropriations and Senate Committee on Finance and Appropriations by December 1, 2025. The report shall include the estimated cost and any potential savings, and any additional legislative authority required to complement the benefit.' ","<p>(This amendment provides $250,000 from the general fund and $250,000 from nongeneral funds in the second year to the Department of Medical Assistance Services to conduct a rate and benefit design analysis for a provision of payment for community health worker services.)</p>",
87 #1h,"Kent","Agriculture and Forestry","Department of Agriculture and Consumer Services","HB 1909 - Virginia Commission for Agricultural Education Excellence","","$100,000",,,,,,,"","<p>(This amendment provides $100,000 from the general fund in fiscal year 2026 pursuant to House Bill 1909, which would establish the Virginia Commission for Agricultural Education Excellence. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
148 #5h,"Kent","Education: Higher Education","Virginia Institute of Marine Science","VIMS - Aquatic Fauna","","$880,000",,,,,,,"","<p>(This amendment requests funding for the Virginia Institute of Marine Science (VIMS) to research the cumulative impacts of surface water intakes on aquatic fauna and water quality in the Chesapeake Bay and its major Virginia tributaries.)</p>",
280 #2h,"Kent","Health and Human Resources","Department of Health","Town of Bowling Green Water System Improvements","","$7,900,000",,,,,,,"Page 354, after line 29, insert:'I. Out of this appropriation, $7,900,000 the second year from the general fund is provided to the Town of Bowling Green to address Gross Alpha Radioactivity and well construction and capacity.' ","<p>(This amendment provides $7.9 million from the general fund in fiscal year 2026 to the Town of Bowling Green to upgrade their water system to address Gross Alpha Radioactivity and well construction and capacity.)</p>",
331 #23h,"Kent","Health and Human Resources","Department of Social Services","Healthy Harvest Fresh Aquaponics Education and Production Center","","$2,000,000",,,,,,,"Page 450, after line 36, insert:'CC. Out of this appropriation, $2,000,000 the second year from the general fund is provided to Richmond County to support the Healthy Harvest Fresh Aquaponics Education and Production Center to provide fresh, nutritious food to those in need and to provide hands-on educational experiences in sustainable agriculture through an innovative smart-farm.' ","<p>(This amendment provides $2.0 million the second year from the general fund to Richmond County to support Healthy Harvest Food Bank in developing the Healthy Harvest Fresh Aquaponics Education and Production Center. The Center will provide fresh food to build capacity to address challenges faced by Healthy Harvest Food Bank, provide training in sustainable indoor agriculture food production, and demonstrate the value of using aquaponics, hydroponics, and agriculture as a medium of teaching STEM concepts to students.)</p>",
359 #12h,"Kent","Natural and Historic Resources","Department of Conservation and Recreation","Virginia Conservation Assistance Program","","$500,000",,,,,,,"Page 472, after line 16, insert:'Y. Out of the appropriation in this item, $500,000 the second year from the general fund is provided for the Virginia Conservation Assistance Program administered by the Association of Soil and Water Conservation Districts.' ","<p>(This amendment provides $500,000 from the general fund in fiscal year 2026 to support the Virginia Conservation Assistance Program.)</p>",
360 #19h,"Kent","Natural and Historic Resources","Department of Conservation and Recreation","Holding of Interest in Land Without a Co-Holder",,,,,,,,,"Page 472, after line 47, insert:'3. Notwithstanding the provisions of § 10.1-1020, Code of Virginia, co-holding requirements shall not apply to the holding of interests in land by land trust groups.' ","<p>(This amendment permits land trust groups to hold an interest in land without a public body co-holder.)</p>",
360 #20h,"Kent","Natural and Historic Resources","Department of Conservation and Recreation","VLCF Grant Management Position","","$125,000",,,"","1.00","","","","<p>(This amendment provides $125,000 from the general fund in fiscal year 2026 and one position to support the administration of the Virginia Land Conservation Fund and the distribution of grants from the fund.)</p>",
373 #4h,"Kent","Natural and Historic Resources","Marine Resources Commission","Potomac River Fisheries Commission","","$100,000",,,,,,,"Page 488, line 39, after 'year and' strike '$148,750' and insert '$248,750'. ","<p>(This amendment provides $100,000 from the general fund in fiscal year 2026 to increase support for the Potomac River Fisheries Commission.)</p>",
469 #2h,"Kent","Central Appropriations","Central Appropriations","HB 1592 -  Conservation Police Officers in the Department of Wildlife Resources in SPORS","","$900,000",,,,,,,"","<p>(This amendment provides $900,000 general fund to effectuate the provisions of House Bill 1592 which moves conservation police officers in the Department of Wildlife Resources from the VaLORS retirement system to the SPORS system.)</p>",
92 #1h,"Keys-Gamarra","Agriculture and Forestry","Department of Agriculture and Consumer Services","Regulation of Hemp Products",,,,,,,,,"Page 98, after line 51, insert:'F. Entities regulated under § 3.2-4122, Code of Virginia, shall not be required to obtain a separate regulated hemp product facility registration for sale or to sell at a temporary event that operates for a period of no more than 14 consecutive days, or at a farmers market.' ","<p>(This amendment exempts certain regulated hemp product facilities from requirements to obtain a separate registration for sale at temporary events.)</p>",
125 #12h,"Keys-Gamarra","Education: Elementary and Secondary","Direct Aid to Public Education","Eliminate Linear Weighted Average From SOQ Formula","","$205,000,000",,,,,,,"Page 177, after line 18, insert:'32. Notwithstanding any other provisions in this item, the Department of Education shall calculate prevailing costs using an average in lieu of the linear weighted average.'  ","<p>(This amendment provides $205.0 million the second year from the general fund to use a simple average instead of a linear weighted average when computing state recognized costs in the Standards of Quality formula. This implements Recommendation 6 from JLARC's report 'Virginia's K-12 Funding Formula'. The estimated cost reflects JLARC's original estimate, adjusted for inflation.)</p>",
